date,value
29-12-2016,7.16
30-12-2016,7.48
31-12-2016,7.2
01-01-2017,7.36
02-01-2017,6.7
03-01-2017,7.07
04-01-2017,7.43
05-01-2017,6.93
06-01-2017,7.39
07-01-2017,7.04
08-01-2017,7.17
09-01-2017,7.13
10-01-2017,6.89
11-01-2017,7.3
12-01-2017,7.02
13-01-2017,7.31
14-01-2017,6.89
15-01-2017,6.54
16-01-2017,6.88
17-01-2017,6.79
18-01-2017,6.69
19-01-2017,6.31
20-01-2017,6.44
21-01-2017,6.32
22-01-2017,6.51
23-01-2017,6.46
24-01-2017,6.63
25-01-2017,6.75
26-01-2017,6.78
27-01-2017,7.22
28-01-2017,7.18
29-01-2017,7.17
30-01-2017,7.31
31-01-2017,7.25
01-02-2017,7.27
02-02-2017,7.39
03-02-2017,6.93
04-02-2017,6.93
05-02-2017,6.52
06-02-2017,6.77
07-02-2017,6.45
08-02-2017,6.55
09-02-2017,6.42
10-02-2017,6.42
11-02-2017,6.31
12-02-2017,6.25
13-02-2017,6.45
14-02-2017,6.39
15-02-2017,6.47
16-02-2017,6.63
17-02-2017,6.58
18-02-2017,7.2
19-02-2017,6.69
20-02-2017,6.89
21-02-2017,7.02
22-02-2017,6.83
23-02-2017,6.95
24-02-2017,7.11
25-02-2017,7.11
26-02-2017,7.11
27-02-2017,6.97
28-02-2017,6.64
01-03-2017,6.93
02-03-2017,6.68
03-03-2017,6.75
04-03-2017,6.5
05-03-2017,6.26
06-03-2017,6.32
07-03-2017,6.42
08-03-2017,6.46
09-03-2017,6.51
10-03-2017,6.44
11-03-2017,6.62
12-03-2017,6.35
13-03-2017,6.35
14-03-2017,6.57
15-03-2017,6.61
16-03-2017,6.28
17-03-2017,6.36
18-03-2017,6.36
19-03-2017,6.39
20-03-2017,6.69
21-03-2017,6.73
22-03-2017,6.84
23-03-2017,6.86
24-03-2017,6.86
25-03-2017,7.22
26-03-2017,7.22
27-03-2017,6.84
28-03-2017,7.01
29-03-2017,6.76
30-03-2017,7.38
31-03-2017,7.36
01-04-2017,6.66
02-04-2017,6.89
03-04-2017,7.33
04-04-2017,7.44
05-04-2017,7.23
06-04-2017,7.3
07-04-2017,7.16
08-04-2017,8.07
09-04-2017,8.07
10-04-2017,7.73
11-04-2017,7.43
12-04-2017,7.71
13-04-2017,7.33
14-04-2017,7.5
15-04-2017,7.5
16-04-2017,7.83
17-04-2017,7.38
18-04-2017,7.5
19-04-2017,7.5
20-04-2017,7.46
21-04-2017,7.46
22-04-2017,7.94
23-04-2017,7.94
24-04-2017,7.2
25-04-2017,7.24
26-04-2017,7.11
27-04-2017,6.98
28-04-2017,6.98
29-04-2017,6.47
30-04-2017,6.63
01-05-2017,6.63
02-05-2017,6.43
03-05-2017,6.85
04-05-2017,6.6
05-05-2017,6.42
06-05-2017,6.54
07-05-2017,6.56
08-05-2017,6.17
09-05-2017,6.17
11-05-2017,6.37
12-05-2017,6.37
13-05-2017,6.19
14-05-2017,6.19
15-05-2017,6.08
16-05-2017,5.99
17-05-2017,6.16
18-05-2017,6.05
19-05-2017,6.05
20-05-2017,6.2
21-05-2017,5.79
22-05-2017,5.78
23-05-2017,5.59
24-05-2017,5.64
25-05-2017,5.74
26-05-2017,5.74
27-05-2017,5.57
28-05-2017,5.57
29-05-2017,5.8
30-05-2017,5.74
31-05-2017,5.7
01-06-2017,5.8
02-06-2017,6.72
03-06-2017,6.8
04-06-2017,6.23
05-06-2017,7.22
06-06-2017,6.97
07-06-2017,7.43
08-06-2017,6.93
09-06-2017,6.64
10-06-2017,6.12
11-06-2017,6.12
12-06-2017,6.74
13-06-2017,6.68
14-06-2017,6.8
15-06-2017,6.7
16-06-2017,6.49
17-06-2017,6.37
18-06-2017,6.16
19-06-2017,7
20-06-2017,6.91
21-06-2017,7.57
